ticker,event_date,momentum_pct,deleted_dir
AIHS,2025-09-16,43.26,data/filtered/AIHS_None_43.26
AIHS,2025-10-01,53.50,data/filtered/AIHS_None_53.50
AIIO,2025-09-15,65.07,data/filtered/AIIO_None_65.07
AIIO,2025-09-16,45.70,data/filtered/AIIO_None_45.70
AIIO,2025-09-18,40.41,data/filtered/AIIO_None_40.41
AIIO,2025-09-25,34.98,data/filtered/AIIO_None_34.98
AIIO,2025-09-30,37.31,data/filtered/AIIO_None_37.31
AIMD,2025-01-06,60.62,data/filtered/AIMD_None_60.62
AIMD,2025-01-10,74.49,data/filtered/AIMD_None_74.49
AIMD,2025-01-14,32.43,data/filtered/AIMD_None_32.43
AIMD,2025-05-28,31.80,data/filtered/AIMD_None_31.80
AIMD,2025-08-06,93.13,data/filtered/AIMD_None_93.13
AIOT,2025-02-10,38.74,data/filtered/AIOT_None_38.74
AIP,2025-08-05,51.22,data/filtered/AIP_None_51.22
AIP,2025-10-06,32.79,data/filtered/AIP_None_32.79
AIRE,2025-09-11,95.71,data/filtered/AIRE_None_95.71
AIRE,2025-09-12,46.34,data/filtered/AIRE_None_46.34
AIRE,2025-10-22,78.67,data/filtered/AIRE_None_78.67
AIRE,2025-10-23,47.14,data/filtered/AIRE_None_47.14
AIRG,2025-07-18,36.05,data/filtered/AIRG_None_36.05
AIRJW,2025-02-13,35.66,data/filtered/AIRJW_None_35.66
AIRJW,2025-10-15,44.37,data/filtered/AIRJW_None_44.37
AIRO,2025-06-16,58.02,data/filtered/AIRO_None_58.02
AIRO,2025-07-11,31.53,data/filtered/AIRO_None_31.53
AIRS,2025-05-02,38.05,data/filtered/AIRS_None_38.05
AISPW,2025-01-14,37.40,data/filtered/AISPW_None_37.40
AISPW,2025-01-15,33.71,data/filtered/AISPW_None_33.71
AISPW,2025-02-26,48.43,data/filtered/AISPW_None_48.43
AISPW,2025-03-25,47.83,data/filtered/AISPW_None_47.83
AISPW,2025-05-19,41.18,data/filtered/AISPW_None_41.18
AISPW,2025-09-12,38.98,data/filtered/AISPW_None_38.98
AISPW,2025-10-06,43.18,data/filtered/AISPW_None_43.18
AISPW,2025-10-13,36.00,data/filtered/AISPW_None_36.00
AI,2025-05-29,31.36,data/filtered/AI_None_31.36
AKAN,2025-08-01,50.88,data/filtered/AKAN_None_50.88
AKAN,2025-09-29,35.53,data/filtered/AKAN_None_35.53
AKAN,2025-10-01,113.32,data/filtered/AKAN_None_113.32
AKA,2025-05-14,61.84,data/filtered/AKA_None_61.84
AKA,2025-10-14,43.44,data/filtered/AKA_None_43.44
AKBA,2025-03-14,35.50,data/filtered/AKBA_None_35.50
AKRO,2025-01-27,123.07,data/filtered/AKRO_None_123.07
AKTX,2025-03-20,38.40,data/filtered/AKTX_None_38.40
AKTX,2025-09-24,60.42,data/filtered/AKTX_None_60.42
ALAB,2025-08-06,35.47,data/filtered/ALAB_None_35.47
ALAR,2025-06-09,43.65,data/filtered/ALAR_None_43.65
ALBT,2025-02-26,49.31,data/filtered/ALBT_None_49.31
ALBT,2025-03-14,30.44,data/filtered/ALBT_None_30.44
ALBT,2025-03-19,39.71,data/filtered/ALBT_None_39.71
ALBT,2025-04-16,34.57,data/filtered/ALBT_None_34.57
ALBT,2025-07-28,108.81,data/filtered/ALBT_None_108.81
ALDFW,2025-10-17,1253.08,data/filtered/ALDFW_None_1253.08
ALDX,2025-04-04,40.85,data/filtered/ALDX_None_40.85
ALEC,2025-08-08,52.05,data/filtered/ALEC_None_52.05
ALLO,2025-02-14,49.29,data/filtered/ALLO_None_49.29
ALLO,2025-02-18,84.31,data/filtered/ALLO_None_84.31
ALLO,2025-02-19,33.10,data/filtered/ALLO_None_33.10
ALLR,2025-01-08,70.30,data/filtered/ALLR_None_70.30
ALLR,2025-01-23,48.51,data/filtered/ALLR_None_48.51
ALLR,2025-01-27,46.32,data/filtered/ALLR_None_46.32
ALLR,2025-08-26,149.65,data/filtered/ALLR_None_149.65
ALMS,2025-03-25,50.99,data/filtered/ALMS_None_50.99
ALMS,2025-03-26,51.00,data/filtered/ALMS_None_51.00
ALMS,2025-04-02,43.92,data/filtered/ALMS_None_43.92
ALMU,2025-04-28,30.34,data/filtered/ALMU_None_30.34
ALMU,2025-06-25,32.09,data/filtered/ALMU_None_32.09
ALUR,2025-01-14,41.41,data/filtered/ALUR_None_41.41
ALUR,2025-01-24,354.32,data/filtered/ALUR_None_354.32
ALUR,2025-03-21,83.33,data/filtered/ALUR_None_83.33
ALUR,2025-05-14,44.92,data/filtered/ALUR_None_44.92
ALVOW,2025-01-08,51.67,data/filtered/ALVOW_None_51.67
ALVOW,2025-03-11,44.54,data/filtered/ALVOW_None_44.54
ALVOW,2025-03-13,72.02,data/filtered/ALVOW_None_72.02
ALVOW,2025-03-21,48.72,data/filtered/ALVOW_None_48.72
ALVOW,2025-04-09,41.12,data/filtered/ALVOW_None_41.12
ALVOW,2025-05-08,33.33,data/filtered/ALVOW_None_33.33
ALVOW,2025-06-02,37.33,data/filtered/ALVOW_None_37.33
ALVOW,2025-07-24,48.92,data/filtered/ALVOW_None_48.92
ALVOW,2025-07-25,37.44,data/filtered/ALVOW_None_37.44
ALVOW,2025-08-12,35.34,data/filtered/ALVOW_None_35.34
ALVOW,2025-08-18,34.78,data/filtered/ALVOW_None_34.78
ALVOW,2025-09-23,40.42,data/filtered/ALVOW_None_40.42
ALVOW,2025-09-30,75.00,data/filtered/ALVOW_None_75.00
ALVOW,2025-10-22,42.01,data/filtered/ALVOW_None_42.01
ALVOW,2025-10-23,64.84,data/filtered/ALVOW_None_64.84
ALVOW,2025-10-30,62.91,data/filtered/ALVOW_None_62.91
ALXO,2025-03-06,44.23,data/filtered/ALXO_None_44.23
ALXO,2025-08-18,61.42,data/filtered/ALXO_None_61.42
ALZN,2025-03-17,32.52,data/filtered/ALZN_None_32.52
ALZN,2025-05-29,147.59,data/filtered/ALZN_None_147.59
AMBA,2025-08-29,32.30,data/filtered/AMBA_None_32.30
AMBP,2025-04-24,30.80,data/filtered/AMBP_None_30.80
AMBQ,2025-07-31,34.34,data/filtered/AMBQ_None_34.34
AMCX,2025-08-08,36.33,data/filtered/AMCX_None_36.33
AMDG,2025-04-09,49.26,data/filtered/AMDG_None_49.26
AMDG,2025-10-06,75.05,data/filtered/AMDG_None_75.05
AMDL,2025-04-09,50.34,data/filtered/AMDL_None_50.34
AMDL,2025-10-06,75.14,data/filtered/AMDL_None_75.14
AMDU,2025-10-06,69.71,data/filtered/AMDU_None_69.71
AMD,2025-10-06,37.67,data/filtered/AMD_None_37.67
AMIX,2025-06-27,94.40,data/filtered/AMIX_None_94.40
AMIX,2025-07-21,67.08,data/filtered/AMIX_None_67.08
AMLX,2025-06-24,33.47,data/filtered/AMLX_None_33.47
AMOD,2025-01-17,41.24,data/filtered/AMOD_None_41.24
AMOD,2025-01-30,259.73,data/filtered/AMOD_None_259.73
AMOD,2025-02-13,227.17,data/filtered/AMOD_None_227.17
AMOD,2025-03-12,32.59,data/filtered/AMOD_None_32.59
AMOD,2025-07-23,124.14,data/filtered/AMOD_None_124.14
AMPGW,2025-01-03,57.17,data/filtered/AMPGW_None_57.17
AMPGW,2025-01-06,79.27,data/filtered/AMPGW_None_79.27
AMPGW,2025-01-10,89.29,data/filtered/AMPGW_None_89.29
AMPGW,2025-01-14,36.49,data/filtered/AMPGW_None_36.49
AMPGW,2025-01-31,159.67,data/filtered/AMPGW_None_159.67
AMPGW,2025-02-04,55.56,data/filtered/AMPGW_None_55.56
