ticker,event_date,momentum_pct,filtered_dirname,expected_quote_data_file,found_in_quote_data
ALVOW,2025-03-21,48.72,ALVOW_2025-03-21_48.72,ALVOW_quotes_2025_03_21.parquet,True
ALVOW,2025-04-09,41.12,ALVOW_2025-04-09_41.12,ALVOW_quotes_2025_04_09.parquet,True
ALVOW,2025-05-08,33.33,ALVOW_2025-05-08_33.33,ALVOW_quotes_2025_05_08.parquet,True
ALVOW,2025-06-02,37.33,ALVOW_2025-06-02_37.33,ALVOW_quotes_2025_06_02.parquet,True
ALVOW,2025-07-24,48.92,ALVOW_2025-07-24_48.92,ALVOW_quotes_2025_07_24.parquet,True
ALVOW,2025-07-25,37.44,ALVOW_2025-07-25_37.44,ALVOW_quotes_2025_07_25.parquet,True
ALVOW,2025-08-12,35.34,ALVOW_2025-08-12_35.34,ALVOW_quotes_2025_08_12.parquet,True
ALVOW,2025-08-18,34.78,ALVOW_2025-08-18_34.78,ALVOW_quotes_2025_08_18.parquet,True
ALVOW,2025-09-23,40.42,ALVOW_2025-09-23_40.42,ALVOW_quotes_2025_09_23.parquet,True
ALVOW,2025-09-30,75.00,ALVOW_2025-09-30_75.00,ALVOW_quotes_2025_09_30.parquet,True
ALVOW,2025-10-22,42.01,ALVOW_2025-10-22_42.01,ALVOW_quotes_2025_10_22.parquet,True
ALVOW,2025-10-23,64.84,ALVOW_2025-10-23_64.84,ALVOW_quotes_2025_10_23.parquet,True
ALVOW,2025-10-30,62.91,ALVOW_2025-10-30_62.91,ALVOW_quotes_2025_10_30.parquet,True
ALXO,2025-03-06,44.23,ALXO_2025-03-06_44.23,ALXO_quotes_2025_03_06.parquet,True
ALXO,2025-08-18,61.42,ALXO_2025-08-18_61.42,ALXO_quotes_2025_08_18.parquet,True
ALZN,2025-03-17,32.52,ALZN_2025-03-17_32.52,ALZN_quotes_2025_03_17.parquet,True
ALZN,2025-05-29,147.59,ALZN_2025-05-29_147.59,ALZN_quotes_2025_05_29.parquet,True
AMBA,2025-08-29,32.30,AMBA_2025-08-29_32.30,AMBA_quotes_2025_08_29.parquet,True
AMBP,2025-04-24,30.80,AMBP_2025-04-24_30.80,AMBP_quotes_2025_04_24.parquet,True
AMBQ,2025-07-31,34.34,AMBQ_2025-07-31_34.34,AMBQ_quotes_2025_07_31.parquet,True
AMCX,2025-08-08,36.33,AMCX_2025-08-08_36.33,AMCX_quotes_2025_08_08.parquet,True
AMDG,2025-04-09,49.26,AMDG_2025-04-09_49.26,AMDG_quotes_2025_04_09.parquet,True
AMDG,2025-10-06,75.05,AMDG_2025-10-06_75.05,AMDG_quotes_2025_10_06.parquet,True
AMDL,2025-04-09,50.34,AMDL_2025-04-09_50.34,AMDL_quotes_2025_04_09.parquet,True
AMDL,2025-10-06,75.14,AMDL_2025-10-06_75.14,AMDL_quotes_2025_10_06.parquet,True
AMDU,2025-10-06,69.71,AMDU_2025-10-06_69.71,AMDU_quotes_2025_10_06.parquet,True
AMD,2025-10-06,37.67,AMD_2025-10-06_37.67,AMD_quotes_2025_10_06.parquet,True
AMIX,2025-06-27,94.40,AMIX_2025-06-27_94.40,AMIX_quotes_2025_06_27.parquet,True
AMIX,2025-07-21,67.08,AMIX_2025-07-21_67.08,AMIX_quotes_2025_07_21.parquet,True
AMLX,2025-06-24,33.47,AMLX_2025-06-24_33.47,AMLX_quotes_2025_06_24.parquet,True
