ticker,date,size_bytes,mtime
AVTX,2023-04-10,64960,1763799577.7062848
AVTX,2023-04-11,116987,1763799578.8981164
AVTX,2023-06-07,42290,1763799580.025562
AVTX,2023-06-15,88751,1763799581.188115
AVTX,2023-09-12,10189822,1763799592.5765357
AVTX,2023-09-13,23022811,1763799618.4326339
AVTX,2023-09-14,25235959,1763799642.8686373
AVTX,2023-09-22,13603429,1763799649.9970737
AVTX,2023-09-25,20335118,1763799665.931537
AVTX,2023-09-26,21782104,1763799698.5649855
AVTX,2023-10-11,6431343,1763799708.5038197
AVTX,2023-12-13,4890562,1763799716.341381
AVTX,2023-12-14,7256010,1763799726.9417763
AVTX,2023-12-21,1454045,1763799729.9643624
AVTX,2024-03-28,18912642,1763799750.039691
AVXL,2021-02-03,4474485,1763799753.1728554
AVXL,2021-02-04,29866346,1763799804.867481
AVXL,2021-06-14,5140579,1763799809.5455558
AVXL,2022-12-02,12930780,1763799817.4174483
AVXL,2024-12-23,3001324,1763799820.010363
AVXL,2024-12-26,2367119,1763799821.8846166
AWRE,2023-11-02,841671,1763799823.394269
AXGN,2020-07-01,1678823,1763799825.1372771
AXGN,2022-05-05,1084145,1763799826.7906973
AXGN,2023-11-07,555361,1763799828.1902676
AXGN,2024-08-08,1133956,1763799829.8231907
AXL,2020-03-24,3542815,1763799832.1835463
AXL,2020-05-08,3979576,1763799834.988083
AXON,2024-11-08,6886625,1763799839.0536158
AXSM,2020-03-20,1635326,1763799841.632529
AXSM,2020-04-27,3537071,1763799847.913385
AXSM,2022-06-27,9628066,1763799858.7660322
AXSM,2022-08-19,9911923,1763799865.678447
AXSM,2022-11-28,5486082,1763799871.090505
AXTI,2021-02-19,1185782,1763799872.853379
AXTI,2024-02-23,20164634,1763799885.6191227
AXTI,2024-05-03,3825926,1763799889.5130503
AYTU,2020-03-10,14599787,1763799910.2787979
AYTU,2020-03-12,16736335,1763799938.2008836
AYTU,2020-03-16,12516336,1763799947.8531532
AYTU,2020-03-23,12815401,1763799955.0874262
AYTU,2020-04-27,14281519,1763799963.3351595
AYTU,2020-12-10,4126013,1763799967.331755
AYTU,2022-06-30,277998,1763799968.6334443
AYTU,2023-09-28,1176676,1763799970.4707806
AZ,2022-05-13,44074,1763799971.5864916
AZ,2022-10-13,282673,1763799972.8603053
AZ,2024-03-27,105496,1763799974.0162904
AZ,2024-07-09,196431,1763799975.239401
AZ,2024-07-12,125787,1763799976.4255574
AZ,2024-10-10,268977,1763799977.7093785
AZI,2024-08-29,3160971,1763799981.4714823
AZI,2024-09-30,132268,1763799982.7493029
AZI,2024-11-01,78079,1763799983.942264
AZI,2024-11-04,238073,1763799985.366233
AZI,2024-11-08,2984793,1763799987.9018614
AZI,2024-11-18,1167045,1763799989.6433334
AZI,2024-12-09,206479,1763799990.9434404
AZTA,2022-11-15,3646505,1763799994.9385965
BA,2020-03-25,63348206,1763800074.615184
BABA,2022-03-16,82804061,1763800123.4866316
BAER,2023-02-24,12997648,1763800138.9942381
BAER,2023-03-14,355105,1763800140.556179
BAER,2023-05-19,169022,1763800141.815202
BAER,2023-06-07,504566,1763800143.2709656
BAER,2023-10-24,496502,1763800144.6762605
BAER,2024-09-09,266680,1763800145.962208
BAER,2024-10-18,689133,1763800147.3570385
BAK,2020-03-25,282428,1763800148.654295
BAK,2020-03-26,406184,1763800150.0181181
BAK,2023-05-05,3643731,1763800154.3673618
BALY,2020-11-20,1469849,1763800156.158813
BAND,2022-11-02,4774991,1763800161.8545732
BAND,2024-02-28,1973991,1763800164.363101
BANFP,2023-01-04,22053,1763800165.4690597
BANL,2023-03-27,270131,1763800166.7276928
BANL,2023-03-28,519373,1763800168.1920648
BANL,2023-03-29,1190715,1763800169.8836732
BANL,2023-04-13,253537,1763800171.200026
BANL,2023-04-21,398548,1763800172.5185463
BANL,2024-01-16,1199913,1763800174.0394576
BANL,2024-07-17,1001589,1763800175.4738133
BANL,2024-08-26,62880,1763800176.623221
BANX,2020-03-19,76835,1763800177.8020647
BANX,2020-03-24,43461,1763800178.9128804
BAOS,2021-03-15,128187,1763800180.0627537
BAOS,2021-06-11,694938,1763800181.4429204
BAOS,2021-06-29,567663,1763800182.7640314
BAOS,2021-07-12,737924,1763800184.19255
BAOS,2021-07-13,4601620,1763800187.2090993
BAOS,2021-08-05,2179570,1763800189.0377288
BAOS,2021-11-02,8366883,1763800193.8517423
BAOS,2022-01-07,105211,1763800195.1729224
BAOS,2022-02-28,136918,1763800196.3454256
BAOS,2022-03-18,65741,1763800197.5224235
BAOS,2022-03-29,192790,1763800198.7376347
BAOS,2022-04-19,173989,1763800200.9455814
BAOS,2022-04-20,1703632,1763800203.8063712
BAOS,2022-05-05,75834,1763800204.9967628
BAOS,2022-05-10,358500,1763800207.3560908
BAOS,2022-06-23,102651,1763800208.4960897
BAOS,2022-07-22,361238,1763800209.7940674
BAOS,2022-08-04,344862,1763800211.2003741
BAOS,2023-03-22,1096409,1763800212.8689451
BAOS,2023-03-23,570939,1763800214.4266558
BAOS,2023-03-28,105997,1763800215.6402297
BAOS,2023-04-28,164624,1763800216.8538835
BAOS,2023-05-01,2733853,1763800219.8488593
BAOS,2023-05-02,3854183,1763800224.7636433
BAOS,2023-05-05,1726125,1763800227.791617
BAOS,2023-05-15,370610,1763800229.3094056
BAOS,2023-06-08,9124323,1763800242.877798
BAOS,2023-06-28,1734771,1763800246.7433176
BAOS,2023-08-16,386433,1763800248.2801476
BAOS,2023-12-26,430456,1763800249.928412
BAOS,2024-02-08,223639,1763800251.3225427
BAOS,2024-02-14,153023,1763800252.5540583
BAOS,2024-07-12,131633,1763800253.8312466
BAOS,2024-09-23,39189,1763800254.970955
BAOS,2024-12-06,90736,1763800256.2150645
BAOS,2024-12-24,21126451,1763800282.83989
BAOS,2024-12-27,1184849,1763800284.5971477
BAOS,2024-12-30,644803,1763800286.065575
BARK,2022-01-11,4409088,1763800288.9031126
BARK,2024-01-09,1641401,1763800290.836524
BARK.WS,2021-06-09,72024,1763800291.9876478
BB,2020-12-01,35602233,1763800320.9170952
BB,2021-01-25,84756678,1763800442.7683787
BB,2021-01-27,159459544,1763800536.1932383
BB,2021-06-02,83279384,1763800642.6997364
BB,2021-06-03,190026476,1763800779.6123757
BBAI,2022-04-06,8762929,1763800791.6261172
BBAI,2022-08-05,3182950,1763800795.9179242
BBAI,2022-09-29,8445482,1763800806.9953184
BBAI,2022-10-27,290511,1763800808.381943
BBAI,2023-01-12,21243623,1763800840.5690851
BBAI,2023-01-30,14687220,1763800857.6213508
BBAI,2023-02-03,13448415,1763800866.0562465
BBAI,2023-02-06,19507318,1763800876.0254428
BBAI,2023-03-21,3129701,1763800880.2360306
BBAI,2023-04-03,8695679,1763800892.7301025
BBAI,2024-02-27,9796900,1763800905.9211895
BBAI,2024-03-04,16399232,1763800929.238468
BBAI,2024-08-21,11374666,1763800944.7179859
BBAI,2024-12-03,7579179,1763800954.6881773
BBAI,2024-12-09,19143889,1763800977.0954447
BBAI.WS,2022-02-25,120166,1763800978.3994772
BBAI.WS,2022-04-05,78552,1763800979.5372977
BBAI.WS,2022-04-06,240230,1763800980.7574253
BBAI.WS,2024-03-04,206358,1763800981.980782
BBAI.WS,2024-12-09,228082,1763800983.2404368
BBAI.WS,2024-12-30,119960,1763800984.4783034
BBBY,2020-04-27,8079448,1763800990.702073
BBBY,2020-10-01,16914709,1763800999.9905565
BBBY,2021-01-25,28289949,1763801025.9120812
BBBY,2021-01-27,39966256,1763801094.4711592
BBBY,2021-06-02,28738223,1763801118.152724
BBBY,2021-06-30,16523175,1763801127.5737758
BBBY,2021-11-03,35699530,1763801150.9441593
BBBY,2022-03-07,30093704,1763801170.0831263
BBBY,2022-07-07,12044133,1763801177.4519765
BBBY,2022-08-05,13057761,1763801196.755077
BBBY,2022-08-08,35329285,1763801246.7172954
BBBY,2022-08-15,43952310,1763801325.8389933
BBBY,2022-08-16,117972594,1763801412.3241365
BBBY,2022-08-17,156721774,1763801593.780158
BBBY,2022-08-24,29404295,1763801611.9060323
BBBY,2022-08-29,33474944,1763801631.3614435
BBBY,2023-01-09,13557434,1763801652.8039525
BBBY,2023-01-10,19162534,1763801684.781105
BBBY,2023-01-11,32754498,1763801704.2212183
BBBY,2023-01-12,58951861,1763801735.0081248
BBBY,2023-02-06,35310161,1763801754.0085838
BBCP,2020-04-23,317655,1763801755.6298149
BBCP,2020-06-26,104772,1763801756.786992
BBDO,2020-03-24,33136,1763801757.916771
BBGI,2020-06-16,441274,1763801759.8261912
BBGI,2020-06-19,5176723,1763801767.4005973
BBGI,2020-11-03,14062987,1763801783.0330217
BBGI,2024-08-05,284682,1763801784.5278687
BBIO,2020-03-19,1048670,1763801786.7288375
BBIO,2020-03-20,2341005,1763801789.6016624
BBIO,2023-03-06,10954894,1763801797.2410975
BBIO,2023-07-17,18102895,1763801807.4657435
BBIO,2024-11-25,6941321,1763801811.907763
BBLG,2021-11-15,1595738,1763801813.7307186
BBLG,2021-11-16,2349416,1763801815.7359288
BBLG,2022-01-10,14392160,1763801823.337582
BBLG,2022-03-09,270884,1763801824.680865
BBLG,2022-03-17,80540,1763801825.8240948
BBLG,2022-03-21,2256061,1763801827.6264398
BBLG,2022-08-04,45698,1763801828.7631383
BBLG,2022-09-01,284043,1763801829.9904292
BBLG,2022-09-21,99529,1763801831.1921725
BBLG,2022-11-15,94284,1763801832.3286195
BBLG,2022-12-12,339794,1763801833.5935662
BBLG,2022-12-27,131353,1763801834.7286682
BBLG,2023-04-11,250285,1763801835.9649615
BBLG,2023-05-10,120676,1763801837.1652987
BBLG,2023-05-16,549958,1763801838.462333
BBLG,2023-06-21,285192,1763801839.7832081
BBLG,2023-08-17,1191291,1763801841.3482122
BBLG,2023-08-25,205052,1763801842.6012256
BBLG,2023-11-16,6969707,1763801846.3049047
BBLG,2023-12-27,566727,1763801847.6698704
BBLG,2023-12-28,4099036,1763801850.3927183
BBLG,2024-01-03,575399,1763801851.8532293
BBLG,2024-01-22,166334,1763801853.2493613
BBLG,2024-02-09,115569,1763801854.5682473
BBLG,2024-02-22,66477,1763801855.686512
BBLG,2024-05-15,307574,1763801857.294916
BBLG,2024-07-23,1642042,1763801860.4698553
BBLG,2024-07-24,10780765,1763801871.5853627
BBLG,2024-07-31,1001991,1763801873.3126235
BBLG,2024-08-01,17541032,1763801889.3353467
BBLG,2024-09-16,21807585,1763801902.569702
BBLG,2024-09-18,2644881,1763801904.71654
BBLG,2024-09-20,921685,1763801906.2375317
BBLG,2024-10-03,329714,1763801907.5694654
BBLG,2024-10-16,605651,1763801909.0211701
BBLG,2024-11-25,164559,1763801910.2189124
BBLGW,2021-11-02,91844,1763801911.3688762
BBLGW,2021-11-15,195844,1763801912.5768497
BBLGW,2021-11-16,270695,1763801913.8376527
BBLGW,2021-12-02,38106,1763801914.9443123
BBLGW,2022-01-10,198481,1763801916.1940312
BBLGW,2022-02-02,12058,1763801917.2911644
BBLGW,2022-03-04,11154,1763801918.353742
BBLGW,2022-03-09,20968,1763801919.4678028
BBLGW,2022-03-16,10686,1763801920.5360677
BBLGW,2022-03-21,24837,1763801921.6247127
BBLGW,2022-05-23,13197,1763801922.762677
