dest_dir,status,detail
AIRE_2025-10-23_47.14,good,127728
AIRG_2025-07-18_36.05,good,3941
AIRJW_2025-02-13_35.66,good,198
AIRJW_2025-10-15_44.37,good,1464
AIRO_2025-07-11_31.53,good,40463
AIRS_2025-05-02_38.05,good,16829
AISPW_2025-01-14_37.40,good,326
AISPW_2025-01-15_33.71,good,694
AISPW_2025-02-26_48.43,good,184
AISPW_2025-03-25_47.83,good,459
AISPW_2025-05-19_41.18,good,978
AISPW_2025-09-12_38.98,good,773
AISPW_2025-10-06_43.18,good,1493
AISPW_2025-10-13_36.00,good,583
AKA_2025-05-14_61.84,good,3343
AKA_2025-10-14_43.44,good,8175
AKAN_2025-08-01_50.88,good,34493
AKAN_2025-09-29_35.53,good,5105
AKAN_2025-10-01_113.32,good,237206
AKBA_2025-03-14_35.50,good,30456
AKRO_2025-01-27_123.07,good,181975
AKTX_2025-03-20_38.40,good,691
AKTX_2025-09-24_60.42,good,9302
ALAB_2025-08-06_35.47,good,244325
ALAR_2025-06-09_43.65,good,17457
ALBT_2025-02-26_49.31,good,3277
ALBT_2025-03-14_30.44,good,641
ALBT_2025-03-19_39.71,good,838
ALBT_2025-04-16_34.57,good,3261
ALBT_2025-07-28_108.81,good,162265
ALDFW_2025-10-17_1253.08,good,316
ALDX_2025-04-04_40.85,good,55911
ALEC_2025-08-08_52.05,good,33427
ALLO_2025-02-14_49.29,good,82854
ALLO_2025-02-18_84.31,good,244185
ALLO_2025-02-19_33.10,good,95101
ALLR_2025-01-08_70.30,good,70103
ALLR_2025-01-23_48.51,good,19670
ALLR_2025-01-27_46.32,good,35751
ALLR_2025-08-26_149.65,good,946049
ALMS_2025-03-25_50.99,good,122083
ALMS_2025-03-26_51.00,good,42235
ALMS_2025-04-02_43.92,good,26778
ALMU_2025-04-28_30.34,good,2282
ALMU_2025-06-25_32.09,good,9831
ALUR_2025-01-14_41.41,good,3739
ALUR_2025-01-24_354.32,good,802487
ALUR_2025-03-21_83.33,good,458241
ALUR_2025-05-14_44.92,good,40370
ALVOW_2025-01-08_51.67,good,293
ALVOW_2025-03-11_44.54,good,28
ALVOW_2025-03-13_72.02,good,236
ALVOW_2025-03-21_48.72,good,116
ALVOW_2025-04-09_41.12,good,56
ALVOW_2025-05-08_33.33,good,166
ALVOW_2025-06-02_37.33,good,496
ALVOW_2025-07-24_48.92,good,173
ALVOW_2025-07-25_37.44,good,142
ALVOW_2025-08-12_35.34,good,139
ALVOW_2025-08-18_34.78,good,111
ALVOW_2025-09-23_40.42,good,78
ALVOW_2025-09-30_75.00,good,189
ALVOW_2025-10-22_42.01,good,86
ALVOW_2025-10-23_64.84,good,104
ALVOW_2025-10-30_62.91,good,285
ALXO_2025-03-06_44.23,good,39830
ALXO_2025-08-18_61.42,good,25135
ALZN_2025-03-17_32.52,good,1832
ALZN_2025-05-29_147.59,good,642450
AMBA_2025-08-29_32.30,good,85696
AMBQ_2025-07-31_34.34,good,46393
AMCX_2025-08-08_36.33,good,24996
AMD_2025-10-06_37.67,good,3011654
AMDG_2025-04-09_49.26,good,319
AMDG_2025-10-06_75.05,good,16528
AMDL_2025-04-09_50.34,good,26670
AMDL_2025-10-06_75.14,good,420684
AMDU_2025-10-06_69.71,good,732
AMIX_2025-06-27_94.40,good,141475
AMIX_2025-07-21_67.08,good,92566
AMLX_2025-06-24_33.47,good,30722
AMOD_2025-01-17_41.24,good,4081
AMOD_2025-01-30_259.73,good,704470
AMOD_2025-02-13_227.17,good,599817
AMOD_2025-03-12_32.59,good,1593
AMOD_2025-07-23_124.14,good,543058
AMPGW_2025-01-06_79.27,good,134
AMPGW_2025-01-10_89.29,good,130
AMPGW_2025-01-14_36.49,good,72
AMPGW_2025-01-31_159.67,good,342
AMPGW_2025-02-04_55.56,good,82
AMPX_2025-01-10_36.63,good,35191
AMPX_2025-03-21_34.63,good,35497
AMPX.WS_2025-07-08_63.70,good,925
AMPX.WS_2025-07-09_90.48,good,4813
AMPX.WS_2025-07-10_33.47,good,2625
AMPX.WS_2025-08-04_42.76,good,480
AMPX.WS_2025-08-08_34.29,good,1243
AMPX.WS_2025-10-15_34.20,good,1600
AMRC_2025-05-06_34.09,good,27095
AMRC_2025-08-05_50.12,good,37772
AMRN_2025-06-24_36.35,good,10707
AMSC_2025-02-06_38.87,good,76741
AMST_2025-02-27_81.59,good,215807
AMST_2025-05-16_81.70,good,502571
AMST_2025-09-11_78.36,good,558155
AMTD_2025-10-31_58.65,good,60882
AMUU_2025-04-09_49.16,good,257
AMUU_2025-10-06_75.13,good,15446
ANAB_2025-02-12_34.46,good,92998
ANAB_2025-09-30_39.66,good,42386
ANEB_2025-03-10_31.78,good,423
ANEB_2025-03-11_51.79,good,1879
ANEB_2025-07-01_50.69,good,973
ANEB_2025-07-02_40.57,good,1136
ANEB_2025-07-23_86.89,good,143535
ANF_2025-05-28_36.09,good,234780
ANGH_2025-07-14_35.14,good,754
ANGH_2025-07-28_56.49,good,75669
ANGI_2025-05-07_38.56,good,57746
ANGO_2025-01-08_39.67,good,31493
ANGX_2025-09-12_38.31,good,14088
ANGX_2025-09-15_42.53,good,9858
ANGX_2025-09-29_44.70,good,18264
ANGX_2025-10-01_40.45,good,20103
ANNA_2025-01-10_50.29,good,842
ANNA_2025-03-20_39.14,good,2652
ANNA_2025-04-16_38.72,good,590
ANNX_2025-03-17_35.00,good,22068
ANPA_2025-07-09_321.31,good,43457
ANPA_2025-07-15_135.53,good,81167
ANPA_2025-07-17_35.32,good,3678
ANPA_2025-07-18_57.03,good,11381
ANPA_2025-07-21_40.59,good,3769
ANPA_2025-07-23_80.68,good,35757
ANPA_2025-07-24_34.94,good,26424
ANPA_2025-07-29_49.05,good,10686
ANRO_2025-10-03_91.84,good,477796
ANRO_2025-10-20_100.49,good,153681
ANSCW_2025-02-11_185.71,good,42
ANVS_2025-04-21_40.02,good,13065
ANVS_2025-06-04_33.33,good,12885
APED_2025-04-09_44.20,good,42
APEI_2025-03-07_32.99,good,6779
APLD_2025-06-02_54.32,good,694600
APLD_2025-06-04_31.41,good,618364
APLD_2025-07-31_40.18,good,539063
APLD_2025-10-10_33.39,good,689240
APLM_2025-03-20_41.21,good,1963
APLM_2025-05-21_34.08,good,1015
APLM_2025-07-21_31.72,good,11082
APLM_2025-09-04_36.04,good,2476
APLM_2025-09-15_45.68,good,4370
APLM_2025-09-16_34.55,good,2834
APLM_2025-09-17_72.25,good,13717
APLM_2025-10-15_128.50,good,13695
APLM_2025-10-16_78.97,good,7625
APLM_2025-10-31_49.01,good,3214
APLT_2025-09-26_135.63,good,167238
APM_2025-02-10_47.54,good,5114
APM_2025-04-15_64.42,good,6985
APM_2025-06-04_30.43,good,3182
APM_2025-07-16_355.76,good,828167
APM_2025-08-21_251.97,good,1604548
APM_2025-09-30_31.31,good,8078
APP_2025-02-13_38.08,good,371453
APPS_2025-02-06_101.97,good,391401
APPS_2025-04-09_33.13,good,23760
APPS_2025-06-17_61.43,good,346442
APPX_2025-05-08_34.95,good,2278
APPX_2025-08-07_31.18,good,26066
APVO_2025-04-02_261.69,good,118618
APVO_2025-04-03_91.30,good,448409
APVO_2025-04-21_56.63,good,202422
APVO_2025-05-21_131.27,good,162950
APVO_2025-06-18_364.89,good,880910
APVO_2025-09-16_88.19,good,525114
APVO_2025-09-18_80.85,good,509123
APVO_2025-10-07_40.43,good,176239
APYX_2025-05-13_59.28,good,28445
AQB_2025-03-26_89.15,good,99478
AQB_2025-08-28_76.21,good,277934
AQB_2025-09-18_39.47,good,130900
AQMS_2025-06-10_44.94,good,10139
AQMS_2025-07-09_112.50,good,199599
AQMS_2025-09-24_49.14,good,325797
AQMS_2025-09-26_71.34,good,220407
AQMS_2025-10-13_133.57,good,341782
AQMS_2025-10-14_297.58,good,493025
AQMS_2025-10-16_39.74,good,110329
AQMS_2025-10-30_65.42,good,62936
ARAI_2025-05-28_56.40,good,13608
ARAI_2025-06-10_149.88,good,349657
ARAI_2025-10-06_33.85,good,10085
ARAI_2025-10-14_34.42,good,8265
ARBB_2025-01-06_38.76,good,2114
ARBB_2025-02-28_70.85,good,137334
ARBB_2025-03-05_87.02,good,254896
ARBB_2025-03-07_61.25,good,42083
ARBB_2025-04-14_42.95,good,25668
ARBB_2025-04-15_67.69,good,186124
ARBB_2025-09-19_31.79,good,100154
ARBB_2025-09-22_122.24,good,141916
ARBB_2025-10-30_35.00,good,45780
ARBE_2025-01-06_86.31,good,559454
ARBE_2025-09-22_36.65,good,132571
ARBEW_2025-01-07_35.14,good,2472
ARBKL_2025-07-01_39.85,good,1973
