filename,reason,size_bytes
ACTG_trades_2020_06_03.json,already_in_filtered,132
ACTG_trades_2020_06_03.parquet,already_in_filtered,101191
ACXP_trades_2023_10_09.json,already_in_filtered,135
ACXP_trades_2023_10_09.parquet,already_in_filtered,398563
ACXP_trades_2023_10_12.json,already_in_filtered,136
ACXP_trades_2023_10_12.parquet,already_in_filtered,354612
ACXP_trades_2023_10_13.json,already_in_filtered,135
ACXP_trades_2023_10_13.parquet,already_in_filtered,164826
ACXP_trades_2023_10_18.json,already_in_filtered,135
ACXP_trades_2023_10_18.parquet,already_in_filtered,153417
ACXP_trades_2025_01_06.parquet,migrated_and_verified,123056
ACXP_trades_2025_06_17.parquet,migrated_and_verified,14623137
ACXP_trades_2025_08_28.parquet,migrated_and_verified,126801
ACXP_trades_2025_10_08.parquet,migrated_and_verified,9096401
ADAG_trades_2023_06_26.json,already_in_filtered,133
ADAG_trades_2023_06_26.parquet,already_in_filtered,15293
ADAG_trades_2024_12_10.json,already_in_filtered,131
ADAG_trades_2024_12_10.parquet,already_in_filtered,9736
ADAG_trades_2025_08_06.parquet,migrated_and_verified,41693
ADAG_trades_2025_09_09.parquet,migrated_and_verified,59381
ADCT_trades_2023_12_01.json,already_in_filtered,133
ADCT_trades_2023_12_01.parquet,already_in_filtered,87752
ADCT_trades_2023_12_13.json,already_in_filtered,135
ADCT_trades_2023_12_13.parquet,already_in_filtered,129779
ADCT_trades_2024_12_06.json,already_in_filtered,135
ADCT_trades_2024_12_06.parquet,already_in_filtered,310553
ADCT_trades_2025_05_14.parquet,migrated_and_verified,303988
ADGM_trades_2024_08_08.json,already_in_filtered,133
ADGM_trades_2024_08_08.parquet,already_in_filtered,22207
ADGM_trades_2024_11_14.json,already_in_filtered,135
ADGM_trades_2024_11_14.parquet,already_in_filtered,153651
ADGM_trades_2024_12_31.json,already_in_filtered,133
ADGM_trades_2024_12_31.parquet,already_in_filtered,51682
ADGM_trades_2025_04_17.parquet,migrated_and_verified,10856415
ADGM_trades_2025_08_27.parquet,migrated_and_verified,28400
ADIL_2020-09-29_metadata.json,already_in_filtered,242
ADIL_2020-09-29_trades.parquet,already_in_filtered,1347142
ADIL_2023-07-11_metadata.json,already_in_filtered,246
ADIL_2023-07-11_trades.parquet,already_in_filtered,967998
ADIL_2024-02-28_metadata.json,already_in_filtered,246
ADIL_2024-02-28_trades.parquet,already_in_filtered,1796438
ADIL_2024-07-23_metadata.json,already_in_filtered,339
ADIL_2024-07-23_trades.parquet,already_in_filtered,2277341
ADIL_trades_2020_06_08.json,already_in_filtered,134
ADIL_trades_2020_06_08.parquet,already_in_filtered,85884
ADIL_trades_2020_08_06.json,already_in_filtered,134
ADIL_trades_2020_08_06.parquet,already_in_filtered,226620
ADIL_trades_2020_09_29.json,already_in_filtered,138
ADIL_trades_2020_09_29.parquet,already_in_filtered,1347142
ADIL_trades_2021_06_22.json,already_in_filtered,135
ADIL_trades_2021_06_22.parquet,already_in_filtered,626060
ADIL_trades_2023_03_07.json,already_in_filtered,135
ADIL_trades_2023_03_07.parquet,already_in_filtered,297628
ADIL_trades_2023_04_21.json,already_in_filtered,133
ADIL_trades_2023_04_21.parquet,already_in_filtered,44591
ADIL_trades_2023_07_11.json,already_in_filtered,137
ADIL_trades_2023_07_11.parquet,already_in_filtered,967998
ADIL_trades_2023_09_26.json,already_in_filtered,133
ADIL_trades_2023_09_26.parquet,already_in_filtered,72659
ADIL_trades_2023_12_29.json,already_in_filtered,133
ADIL_trades_2023_12_29.parquet,already_in_filtered,48002
ADIL_trades_2024_02_14.json,already_in_filtered,134
ADIL_trades_2024_02_14.parquet,already_in_filtered,206911
ADIL_trades_2024_02_28.json,already_in_filtered,138
ADIL_trades_2024_02_28.parquet,already_in_filtered,1796438
ADIL_trades_2024_02_29.json,already_in_filtered,136
ADIL_trades_2024_02_29.parquet,already_in_filtered,617162
ADIL_trades_2024_03_01.json,already_in_filtered,138
ADIL_trades_2024_03_01.parquet,already_in_filtered,1894887
ADIL_trades_2024_04_10.json,already_in_filtered,138
ADIL_trades_2024_04_10.parquet,already_in_filtered,1859159
ADIL_trades_2024_04_11.json,already_in_filtered,136
ADIL_trades_2024_04_11.parquet,already_in_filtered,819358
ADIL_trades_2024_04_15.json,already_in_filtered,135
ADIL_trades_2024_04_15.parquet,already_in_filtered,110048
ADIL_trades_2024_07_23.json,already_in_filtered,138
ADIL_trades_2024_07_23.parquet,already_in_filtered,1855726
ADIL_trades_2025_02_25.parquet,migrated_and_verified,2878624
ADIL_trades_2025_05_02.parquet,migrated_and_verified,1653082
ADMA_trades_2020_03_19.json,already_in_filtered,134
ADMA_trades_2020_03_19.parquet,already_in_filtered,337243
ADMA_trades_2020_03_23.json,already_in_filtered,135
ADMA_trades_2020_03_23.parquet,already_in_filtered,407032
ADMA_trades_2020_07_30.json,already_in_filtered,137
ADMA_trades_2020_07_30.parquet,already_in_filtered,1031373
ADMA_trades_2020_08_24.json,already_in_filtered,137
ADMA_trades_2020_08_24.parquet,already_in_filtered,1450893
ADMA_trades_2021_04_28.json,already_in_filtered,137
ADMA_trades_2021_04_28.parquet,already_in_filtered,1637930
ADMA_trades_2024_05_10.json,already_in_filtered,135
ADMA_trades_2024_05_10.parquet,already_in_filtered,396948
ADMA_trades_2024_08_09.json,already_in_filtered,135
ADMA_trades_2024_08_09.parquet,already_in_filtered,572989
ADNT_trades_2020_01_31.json,already_in_filtered,134
