ticker,date,momentum_pct_str,source_folder,dest_dir
AGH,2025-08-11,51.14,AGH_trades_2025_08_11.parquet,AGH_2025-08-11_51.14
AGH,2025-09-10,43.66,AGH_trades_2025_09_10.parquet,AGH_2025-09-10_43.66
AGH,2025-09-26,41.74,AGH_trades_2025_09_26.parquet,AGH_2025-09-26_41.74
AGH,2025-10-20,35.36,AGH_trades_2025_10_20.parquet,AGH_2025-10-20_35.36
AGL,2025-04-08,43.06,AGL_trades_2025_04_08.parquet,AGL_2025-04-08_43.06
AGMH,2025-03-06,182.30,AGMH_trades_2025_03_06.parquet,AGMH_2025-03-06_182.30
AGMH,2025-04-02,39.05,AGMH_trades_2025_04_02.parquet,AGMH_2025-04-02_39.05
AGMH,2025-04-23,158.00,AGMH_trades_2025_04_23.parquet,AGMH_2025-04-23_158.00
AGMH,2025-04-25,74.36,AGMH_trades_2025_04_25.parquet,AGMH_2025-04-25_74.36
AGMH,2025-04-28,203.50,AGMH_trades_2025_04_28.parquet,AGMH_2025-04-28_203.50
AGMH,2025-05-05,50.75,AGMH_trades_2025_05_05.parquet,AGMH_2025-05-05_50.75
AGMH,2025-05-16,39.50,AGMH_trades_2025_05_16.parquet,AGMH_2025-05-16_39.50
AGMH,2025-06-04,75.44,AGMH_trades_2025_06_04.parquet,AGMH_2025-06-04_75.44
AGMH,2025-09-09,30.39,AGMH_trades_2025_09_09.parquet,AGMH_2025-09-09_30.39
AGMH,2025-09-10,99.09,AGMH_trades_2025_09_10.parquet,AGMH_2025-09-10_99.09
AGMH,2025-09-19,711.66,AGMH_trades_2025_09_19.parquet,AGMH_2025-09-19_711.66
AGRZ,2025-10-07,69.03,AGRZ_trades_2025_10_07.parquet,AGRZ_2025-10-07_69.03
AGRZ,2025-10-08,46.17,AGRZ_trades_2025_10_08.parquet,AGRZ_2025-10-08_46.17
AGRZ,2025-10-10,47.89,AGRZ_trades_2025_10_10.parquet,AGRZ_2025-10-10_47.89
AGRZ,2025-10-16,36.91,AGRZ_trades_2025_10_16.parquet,AGRZ_2025-10-16_36.91
AGRZ,2025-10-21,47.54,AGRZ_trades_2025_10_21.parquet,AGRZ_2025-10-21_47.54
AGX,2025-03-28,30.90,AGX_trades_2025_03_28.parquet,AGX_2025-03-28_30.90
AHG,2025-04-22,42.06,AHG_trades_2025_04_22.parquet,AHG_2025-04-22_42.06
AHG,2025-07-09,58.91,AHG_trades_2025_07_09.parquet,AHG_2025-07-09_58.91
AHMA,2025-10-29,34.12,AHMA_trades_2025_10_29.parquet,AHMA_2025-10-29_34.12
AHT,2025-02-13,38.74,AHT_trades_2025_02_13.parquet,AHT_2025-02-13_38.74
AI,2025-05-29,31.36,AI_trades_2025_05_29.parquet,AI_2025-05-29_31.36
AIFF,2025-01-14,205.26,AIFF_trades_2025_01_14.parquet,AIFF_2025-01-14_205.26
AIFF,2025-02-11,271.29,AIFF_trades_2025_02_11.parquet,AIFF_2025-02-11_271.29
AIFF,2025-02-12,72.02,AIFF_trades_2025_02_12.parquet,AIFF_2025-02-12_72.02
AIFF,2025-02-13,32.61,AIFF_trades_2025_02_13.parquet,AIFF_2025-02-13_32.61
AIFF,2025-03-14,32.61,AIFF_trades_2025_03_14.parquet,AIFF_2025-03-14_32.61
AIFF,2025-03-17,34.58,AIFF_trades_2025_03_17.parquet,AIFF_2025-03-17_34.58
AIFF,2025-05-05,37.92,AIFF_trades_2025_05_05.parquet,AIFF_2025-05-05_37.92
AIFF,2025-08-26,40.15,AIFF_trades_2025_08_26.parquet,AIFF_2025-08-26_40.15
AIFU,2025-02-07,41.20,AIFU_trades_2025_02_07.parquet,AIFU_2025-02-07_41.20
AIFU,2025-05-02,146.70,AIFU_trades_2025_05_02.parquet,AIFU_2025-05-02_146.70
AIFU,2025-05-06,126.72,AIFU_trades_2025_05_06.parquet,AIFU_2025-05-06_126.72
AIFU,2025-05-12,84.20,AIFU_trades_2025_05_12.parquet,AIFU_2025-05-12_84.20
AIFU,2025-06-24,79.43,AIFU_trades_2025_06_24.parquet,AIFU_2025-06-24_79.43
AIHS,2025-06-05,48.35,AIHS_trades_2025_06_05.parquet,AIHS_2025-06-05_48.35
AIHS,2025-06-10,55.96,AIHS_trades_2025_06_10.parquet,AIHS_2025-06-10_55.96
AIHS,2025-09-03,244.17,AIHS_trades_2025_09_03.parquet,AIHS_2025-09-03_244.17
AIHS,2025-09-08,38.66,AIHS_trades_2025_09_08.parquet,AIHS_2025-09-08_38.66
AIHS,2025-09-16,43.26,AIHS_trades_2025_09_16.parquet,AIHS_2025-09-16_43.26
AIHS,2025-10-01,53.50,AIHS_trades_2025_10_01.parquet,AIHS_2025-10-01_53.50
AIIO,2025-09-15,65.07,AIIO_trades_2025_09_15.parquet,AIIO_2025-09-15_65.07
