dest_dir,path,schema_fingerprint,schema_ok,timestamp_col_used,n_trades,unit_guess,unit_ok,pct_whole_second,granularity_ok,rows_ok,min_ts,max_ts,error,PASS
ABVE_2025-05-22_31.47,data/filtered/ABVE_2025-05-22_31.47/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,2709,ns,True,0.0011074197120708748,True,True,1747915204938000000,1747958167800000000,,True
ABVE_2025-06-16_35.45,data/filtered/ABVE_2025-06-16_35.45/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,3531,ns,True,0.0002832058906825262,True,True,1750066331277000000,1750117892005000000,,True
ABVE_2025-07-07_85.53,data/filtered/ABVE_2025-07-07_85.53/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,26865,ns,True,0.0007072399032198027,True,True,1751875403832000000,1751932453255000000,,True
ABVE_2025-07-10_480.82,data/filtered/ABVE_2025-07-10_480.82/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,907583,ns,True,0.0009596918408564286,True,True,1752134421801000000,1752191999985000000,,True
ABVE_2025-07-11_183.87,data/filtered/ABVE_2025-07-11_183.87/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,1319018,ns,True,0.0012350096814448324,True,True,1752220800296000000,1752278399496000000,,True
ABVE_2025-07-17_127.98,data/filtered/ABVE_2025-07-17_127.98/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,677358,ns,True,0.00136707619899669,True,True,1752739200028000000,1752796799344000000,,True
ABVE_2025-09-24_33.56,data/filtered/ABVE_2025-09-24_33.56/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,17928,ns,True,0.0010597947344935298,True,True,1758700800093000000,1758758395921000000,,True
ABVE_2025-10-08_70.61,data/filtered/ABVE_2025-10-08_70.61/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,155089,ns,True,0.0016700088336374598,True,True,1759910418404000000,1759967997076000000,,True
ABVE_2025-10-23_30.13,data/filtered/ABVE_2025-10-23_30.13/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,16886,ns,True,0.0013028544356271468,True,True,1761206400006000000,1761263997019000000,,True
ABVEW_2025-10-08_57.14,data/filtered/ABVEW_2025-10-08_57.14/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,1872,ns,True,0.0010683760683760685,True,True,1759926219045000000,1759962101508000000,,True
ABVEW_2025-10-16_57.89,data/filtered/ABVEW_2025-10-16_57.89/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,3420,ns,True,0.0020467836257309943,True,True,1760613583472000000,1760658714938000000,,True
ABVEW_2025-10-17_31.42,data/filtered/ABVEW_2025-10-17_31.42/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,580,ns,True,0.0,True,True,1760702410970000000,1760744286750000000,,True
ABVEW_2025-10-27_36.21,data/filtered/ABVEW_2025-10-27_36.21/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,1448,ns,True,0.0,True,True,1761562812015000000,1761606504284000000,,True
ABVX_2025-07-23_613.50,data/filtered/ABVX_2025-07-23_613.50/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,421938,ns,True,0.0009361564969260887,True,True,1753257600009000000,1753315181010000000,,True
ACAD_2025-05-16_43.35,data/filtered/ACAD_2025-05-16_43.35/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,175308,ns,True,0.0008271157049307505,True,True,1747382400016000000,1747439935179000000,,True
ACB_2025-02-05_54.62,data/filtered/ACB_2025-02-05_54.62/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,315869,ns,True,0.0009497608185671908,True,True,1738746000021000000,1738803599645000000,,True
ACB_2025-09-29_32.30,data/filtered/ACB_2025-09-29_32.30/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,54482,ns,True,0.0013398920744466063,True,True,1759132800068000000,1759190357863000000,,True
ACCL_2025-10-24_36.36,data/filtered/ACCL_2025-10-24_36.36/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,1628,ns,True,0.005528255528255528,True,True,1761305144210000000,1761348730394000000,,True
ACCL_2025-10-31_39.42,data/filtered/ACCL_2025-10-31_39.42/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,2763,ns,True,0.0,True,True,1761897872099000000,1761954912984000000,,True
ACHR.WS_2025-04-09_33.10,data/filtered/ACHR.WS_2025-04-09_33.10/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,542,ns,True,0.0,True,True,1744205648977000000,1744239600003000000,,True
ACHR.WS_2025-05-13_39.75,data/filtered/ACHR.WS_2025-05-13_39.75/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,3115,ns,True,0.0009630818619582664,True,True,1747143000990000000,1747177200003000000,,True
ACHR.WS_2025-05-16_32.60,data/filtered/ACHR.WS_2025-05-16_32.60/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,3207,ns,True,0.0006236357966947302,True,True,1747387128259000000,1747439663605000000,,True
ACHR.WS_2025-10-06_41.98,data/filtered/ACHR.WS_2025-10-06_41.98/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,3295,ns,True,0.006980273141122913,True,True,1759737626985000000,1759795102519000000,,True
ACHV_2025-10-17_44.15,data/filtered/ACHV_2025-10-17_44.15/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,76585,ns,True,0.0008356727818763465,True,True,1760688000019000000,1760745592622000000,,True
ACOG_2025-05-16_42.14,data/filtered/ACOG_2025-05-16_42.14/trades.parquet,"[[""duckdb_schema"", null], [""price"", ""DOUBLE""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""]]",True,sip_timestamp,3165,ns,True,0.001579778830963665,True,True,1747396800345000000,1747439695398000000,,True
